d1,d2,c1
-3.922753242594779,8.651792306955787,in
0.2348519183622581,-0.023397650546374854,in
-17.071075078211216,3.1878911959832514,in
17.476986069880574,1.3356443856584832,in
-2.005100465082628,17.58004060056052,in
-15.37877895689613,-10.309009895920722,in
8.739622019078098,0.39611912460314513,in
-3.50373928259742,-13.893623626007855,in
-6.560856257062408,-6.644298182930273,in
4.185694784357563,-6.369592158427651,in
-3.9385094711520963,0.3283622482755152,in
-3.3707086458139868,-4.504165981168134,in
-4.891744184794344,-10.460754764555292,in
-11.94107600616469,-4.389811550063709,in
1.9510044669694313,-6.404451263855964,in
-10.694289695977254,-15.261797233667691,in
24.1851704756847,11.995900221017784,in
3.5059095353205203,-1.3671905514854001,in
1.3156655093529104,-10.607516217733785,in
1.8545906161891592,5.9776653121812116,in
-8.69277070318628,13.815013867427181,in
-4.3328959296315395,-1.2428529953733223,in
-4.630306121908735,-5.483594894390352,in
5.614036300527491,8.73751942986836,in
13.355397323262423,1.8137027078524406,in
5.4236740375697625,-5.993173835581209,in
7.954861012698284,-1.447625216079472,in
7.215401412846747,-0.5735226389641548,in
8.512634084200045,6.202399783575679,in
-9.287371564402518,4.742906035170183,in
-11.444451395168645,-4.320567019248621,in
-7.660623656598555,-5.054512557425305,in
19.54946810672245,-0.4378548306498785,in
-8.146849530897658,0.9110828603878243,in
-4.801113215652835,-2.0060973966125966,in
1.9485357994937873,6.350404435665505,in
5.910997308199811,-4.612836703067142,in
2.1941667920308805,3.182964739375551,in
3.5329993101406805,0.24150041887789953,in
1.4123245241084825,-13.4499749963021,in
-1.9753216463313135,6.686456723326004,in
-5.517927804327761,1.690884247088487,in
-2.3573877999318533,9.046303510478364,in
15.462876048460497,13.157865028582128,in
11.489701820288147,15.045052590815766,in
7.833929879353944,11.474404252203762,in
15.031685766940829,-5.310190287278566,in
-6.649780470586874,-7.844559719029563,in
12.57584022035811,-13.085129941633811,in
-12.0245900312498,-8.849668813946078,in
11.166730669787393,-7.167222260397164,in
-7.314164804433807,-3.5419718123429105,in
-1.9065311896812709,7.777240308563894,in
15.231015481260023,8.999778670016068,in
10.702902090283295,-2.935539372293283,in
1.6673168742401248,12.490453852048722,in
0.7921942279215191,-9.150765619103225,in
2.2621062545203676,-1.9411007666294064,in
-15.863270384324586,13.449228755303189,in
11.268285020898102,-13.203653615178313,in
13.205803034751895,-2.6536679709647935,in
0.7056470173632188,9.293014155537078,in
27.56129173307615,-20.943873430217206,in
20.295931607762242,6.011376182347413,in
6.548591711643756,-4.836580474410725,in
-8.469050619623673,-19.467333629261763,in
-3.687369593718322,1.0711378674600616,in
-14.455726876357499,-13.30323095201429,in
-1.7554638535268534,-24.396110307581516,in
10.534963206887355,5.420523749688284,in
5.450933451089189,-6.395497920454435,in
6.933016935950031,-6.610096082283539,in
14.431246182089723,9.28096073407334,in
-1.1856406323088515,3.8285950757391056,in
0.08933970256786944,4.079722507246457,in
4.24287014031105,0.685035019152493,in
5.572758742315615,10.83607555592415,in
-1.0542384991614036,-13.45137018480645,in
17.419087196432955,14.907107437801647,in
6.121980368032047,4.835583459369782,in
15.084584650133866,-20.29279782647571,in
0.6662361093873898,-15.567561555276122,in
7.518518904187137,1.9937566051569262,in
-8.494137798568307,22.721759774956514,in
-4.1137285396763925,1.7263843415730125,in
-11.61351825917462,-21.2941046570287,in
