d1,d2,c
7.4762877186057874,7.1904300686680545,40.0
3.0379227228735157,-5.167840983728167,80
11.712577686658472,-2.196953133519823,40.0
-7.312878218501268,-19.136193259778093,40.0
16.226035598084632,2.098128299674636,40.0
-5.292448162975974,-3.7226204500692384,80
9.374146438370238,-11.034700142890133,40.0
9.719431158205529,16.816702242026142,40.0
5.676652904162166,-5.782988183722012,80
-3.343197076792943,-0.1129597470646289,80
13.540154560322152,-7.40017424548023,40.0
-2.268016921269548,3.7524406785351783,80
-12.938907929361434,-32.802645641921984,40.0
-21.463207743927807,-7.785204870229653,40.0
2.46429920182923,16.45647381429817,40.0
-14.240040893980899,3.9766435646937373,40.0
-9.709608911303752,6.367389563144857,40.0
-1.1926675330338787,-1.0207899273050065,80
-3.7139000562721733,3.3983092888929187,80
-10.231475946012363,-7.996607862276236,40.0
